id;screen_name;created_at;full_text;sentiment;date;hour;day_of_week;text_length;contains_keywords
28;Divergents20;2024-01-09 12:19:53+00:00;le foutage de gueule de engiepartfr pour une maison de 96 m carré où on vit à 4 en pleine période de froid normal pour la saison ah il ny pas de risques quil me file la prime;Négatif;2024-01-09;12;Tuesday;174;False
29;prisspriss12;2024-01-10 19:09:32+00:00;ninie949378 78190trappes cdchabitat villedetrappes engieprofr cdchetmoi alirabeh en panne de chauffage et deau chaude avec cdchetmoi engiepartfr  malgré des installations soidisant neuves rien ne fonctionne incompétence problèmestechniques;Négatif;2024-01-10;19;Wednesday;239;True
30;LeMalth;2024-01-11 18:28:37+00:00;engiepartfr nbonsoir seraitil possible davoir un contact 10 jours pour avoir un rdv avec un technicienune  à 16 degrés avec pompe à chaleur et  neuve5 interventionstjr pareilça devient insupportable sans compter le service client inutile et la facture edf salée;Neutre;2024-01-11;18;Thursday;261;False
31;Damien4118;2024-01-12 07:37:30+00:00;bon à savoir  lorsqu engiepartfr intervient chez vous pour un changement de pièce banal vous pouvez vous retrouver ensuite sans chauffage on vous proposera ensuite un rdv dans 3 jours pour venir voir ce qui se passe;Négatif;2024-01-12;7;Friday;215;False
32;MerlinPainpin;2024-01-12 10:09:53+00:00;le plus gros suspense de lannée nengiepartfr;Neutre;2024-01-12;10;Friday;44;False
33;david_yoteau;2024-01-12 10:21:17+00:00;engiepartsav bonjournplus de courant sur la commune de saint hilaire de clisson une idée de ce quil se passe;Neutre;2024-01-12;10;Friday;108;False
34;med_energie;2024-01-12 11:06:59+00:00;vendredicfini nune cliente dengiepartfr a reçu un courrier de renouvellement de son offre de fourniture de gaz et délectricité sans mention des nouveaux prix de labonnement et du kwh il contient seulement 8 pages d  annexe de prix  14;Neutre;2024-01-12;11;Friday;234;False
35;y770_;2024-01-13 19:29:54+00:00;engiegroup engiepartfr pq vous mettez plusieurs jours pr envoyer qqun nous dépanner en plein hiver en plus qqun qui vient qui na même pas la pièce quil faut on est sans eau chaude ni chauffage depuis 2 jours cest inhumain de traiter les gens comme ça;Négatif;2024-01-13;19;Saturday;250;False
36;coupinesandrine;2024-01-14 19:24:56+00:00;y770 engiegroup engiepartfr bienvenue au club on attend toujours quils nous recontactent;Neutre;2024-01-14;19;Sunday;88;False
37;FannyLepoivre;2024-01-15 15:54:58+00:00;48h que nous avons demandé une intervention durgence dans notre immeuble engieprofr engiepartfr engie solutions engie home services et toujours rienpourtant leau coule en continu depuis 48h et plus personne na de chauffage y compris nos aimés de 90 ans vivants seuls;Négatif;2024-01-15;15;Monday;266;False
38;Qesakostan;2024-01-16 08:18:21+00:00;engiepartfr pourquoi engie envoie plus mes factures par la postenjai pas voulu leur dématerialisation;Neutre;2024-01-16;8;Tuesday;101;False
39;masy7723;2024-01-17 06:44:38+00:00;cdchetmoi cdchabitat engiegroup accepteriez vous cela pour votre famille;Neutre;2024-01-17;6;Wednesday;72;False
40;RVL42600;2024-01-17 11:20:30+00:00;attention engie rode ds nos quartiers ltlt engie gtgt  ltltgdf je nai à vendre je vérifie vos contrats vous navez rien à faire juste à tel à engie pour prendre le duo gaz elec gtgt à part ça vous navez rien à vendre nedfofficiel lcp ufcquechoisirnengiepartfr;Neutre;2024-01-17;11;Wednesday;258;False
41;eli_____sa;2024-01-17 11:23:05+00:00;dans un 60m2 avec un seul chauffage qui fonctionne 24h24 et un autre uniquement la nuit une tv un frigo une machine à laver et une plaque induction on est daccord que cest absolument pas normal davoir une facture de 300 balles nengiepartfr faut me venir en aide;Positif;2024-01-17;11;Wednesday;261;False
42;vince_thouvenin;2024-01-17 13:45:59+00:00;engiepartsav deux mois sans eau chaude  même en mettant en demeure votre agence damiens aucune réponse de vos services  arnaqueengie;Négatif;2024-01-17;13;Wednesday;132;False
43;lazhonguoren;2024-01-17 14:42:23+00:00;engiegroup bonjour pourquoi jai une option électricité verte sur un contrat de gaz  nça fait 24 mois que vous me facturez 3 en plus sur un contrat de gaz nvolezvous vos clients;Neutre;2024-01-17;14;Wednesday;176;False
44;Patrick_3164;2024-01-19 09:24:28+00:00;engiepartsav bonjour engiepartfr   votre réponse est inadmissible  nvous mindiquez juste que vous pensez que le problème est pris en compte et vous nous communiquerez une date dintervention   nil neige en picardie et ma mère est sans chauffage par votre faute  bougez vous;Négatif;2024-01-19;9;Friday;272;False
45;VilledieuDamien;2024-01-20 13:40:48+00:00;latribune tu en penses quoi engiepartfr  jai hâte de voir ma mensualisation baisser après avoir presque doublée cette année;Neutre;2024-01-20;13;Saturday;123;False
46;BiduleAnatheme;2024-01-21 11:20:05+00:00;nous sommes le 21 janvier 2024 et engiepartsav engiepartfr na toujours pas traité ni la résiliation ni le remboursement ni le signalement dgccrf un niveau dincompétence rare;Positif;2024-01-21;11;Sunday;173;False
47;Khodexx;2024-01-21 17:21:23+00:00;engiepartfr vu que le contact semble globalement compliqué jen suis réduit à devoir essayer ici donc je récapitule  en décembre 2023 je constate une panne sur ma chaudière qui a été installée lannée dernière et que jai payée au prix fort celleci ne fonctionnait plus;Négatif;2024-01-21;17;Sunday;266;True
48;ilxipa;2024-01-21 17:30:40+00:00;engiepartsav bonjour estce quil est possible de télécharger lhistorique horaire de ses consommations délectricité  je nobtiens quun fichier avec les relevés mensuels alors que loption du suivi horaire est activée;Neutre;2024-01-21;17;Sunday;212;False
49;Khodexx;2024-01-22 08:55:16+00:00;60millions engiepartsav je ne sais pas non plus si ufcquechoisir peut maider mais là de toute façon jirai voir mes pires ennemis si jen avais jen ai marre;Neutre;2024-01-22;8;Monday;154;False
50;annesoldx;2024-01-22 14:20:26+00:00;engiepartfr engiepartsav faire une demande dintervention urgente pour une chaudière qui a lâché depuis samedi matin et sentendre dire que les plannings sont pleins par une personne très désagréable au téléphone cest ça votre sav  pour rappel une urgence  immédiat;Négatif;2024-01-22;14;Monday;263;True
51;chcuny;2024-01-23 18:55:11+00:00;je pense quil faut vraiment remercier le gouvernement et monsieur brunolemaire pour son doublé sur les nouveaux tarifs délectriciténnil a quand même réussi lexploit de faire plus augmenter les tarifs qui sont les plus intéressants pour enedis  les tarifs tempo et hphcnnexploit dautant plus remarquable que le gaz est maintenant moins taxé que lélectricité alors que cest une énergie fossile émettrice de co2nnun champion comme ça il faut absolument le garder gabrielattal;Neutre;2024-01-23;18;Tuesday;472;False
52;cyril77M;2024-01-24 15:05:49+00:00;chcuny brunolemaire enedis et encore mon gaz a fait 37 malgré une diminution de ma consommation de 25 et une baisse du coût global par les fournisseurs faut que je regarde en détail mon contrat je comprends pas non plus une tel augmentation engiepartfr;Neutre;2024-01-24;15;Wednesday;252;False
53;PaoLaVorny;2024-01-24 22:42:50+00:00;vous mexpliquez engiepartfr engiepartsav  depuis octobre vous me rajoutez entre 20 et 30 par mois discrètement mais je vous vois nengie electricite arnaque;Négatif;2024-01-24;22;Wednesday;155;False
54;Bennuts77;2024-01-24 23:24:18+00:00;engiepartfr je passe de 122 à 262par mois je dois payer 511 de régulation vous me faites payer une intervention dun technicien jamais venu et a coté quand je vous contacte pour me dire quil y a un soucis personne se déplace njai 33m les kheys pas 230;Neutre;2024-01-24;23;Wednesday;250;False
55;FeeKalome;2024-01-25 09:19:23+00:00;bonjour engiepartfr  nimpossible de se connecter sur l espace client de votre site c est normal j aimerais comprendre l aberration de ma facture;Positif;2024-01-25;9;Thursday;144;False
56;toundra69;2024-01-25 10:06:37+00:00;engiepartsav bj jai essayé de réglé son radiateur il ny a pas de mode demploi et jai pu enlever quelques prereglages jai tout mis sur 15 il fait 17 degrés chez elle je lui ai dit de tenir deux jours pour voir si ça change sa consommation journalière dici lundi je vous contact thx;Neutre;2024-01-25;10;Thursday;280;False
57;halimsidi;2024-01-26 07:05:15+00:00;engiepartsav bonjoura quand un service client digne de ce nomcela fait maintenant 5 ans que jai un compteur linky et tous les ans je relance vos services car il nest pas communiquantdénier en date 1223et tjrs riendites le si vous ne voulez rien faire;Neutre;2024-01-26;7;Friday;250;False
58;Delelisma;2024-01-26 12:58:44+00:00;cher engiepartsav engiepartfr il ma fallu 3ans avec les anciens proprio pour changer un compteur des relances tous les mois et 3 rendez vous où vous nêtes pas venu depuis ça fait 4mois que vous étudiez une facture erronée et vos conseillers ne disent jamais la même chose;Neutre;2024-01-26;12;Friday;271;False
59;mimine130071;2024-01-27 14:07:13+00:00;biduleanatheme engiepartsav dgccrf bonjour biduleanatheme  nous sommes dans le même cas que vous vis à vis des escrocs de lagence engie home services grand marseille contrat de maintenance annuelle payé mais non honoré sans compter les rendez vous maintenance ou dépannage annulés  courrier ar sans réponse;Négatif;2024-01-27;14;Saturday;306;False
60;mimine130071;2024-01-27 14:16:11+00:00;bonjour engiepartsav  que faut il faire pour que lagence grand marseille traite enfin notre demande de remboursement dun contrat de maintenance annuelle sécurité payé et jamais honoré;Positif;2024-01-27;14;Saturday;183;False
61;mimine130071;2024-01-27 14:20:33+00:00;engiepartsav nimpossible de joindre lagence par téléphone  pas de réponse aux différentes tentatives de contact y compris courrier ar nous sommes toujours en attente dun rappel qui ne vient jamais  une honte  fautil saisir la dgccrf  porter plainte pour escroquerie;Négatif;2024-01-27;14;Saturday;265;False
62;LaBelleEnYeux;2024-01-30 07:51:16+00:00;ça fait des mois quengiepartfr  me réclame 57222 sans me dire ce que cest facture de septembre rien du tout de cette somme et facture de novembre ça apparaît en report de la facture précédente ça fait des mois et rien et ils  mont mis en recouvrement engiepartsav;Neutre;2024-01-30;7;Tuesday;263;False
63;manudscts;2024-01-30 12:09:47+00:00;engiepartfr me menace de me réduire lélectricité si je ne paye pas une facture de régularisation de 533 je veux bien la payer mais ils ne veulent pas que je paye en 5x uniquement en 2x nils sont méprisant et hautain npourquoi refusentil de maidernengie;Neutre;2024-01-30;12;Tuesday;252;False
64;williamvogel201;2024-01-31 06:14:04+00:00;engiepartfr hello engiepartfr engie cela fait un moment que le suivi de conso est cassénelec  gaznvous pouvez faire qqchose;Neutre;2024-01-31;6;Wednesday;123;False
65;luberlu86;2024-01-31 10:37:10+00:00;engiepartfr engie cest aussi cette entreprise qui est capable de mettre en panne une chaudière chez une femme de 94 ans le pire étant que les autorités judiciaire saisies et la dgccrf se gardent bien de venir soutenir cette femme seule à poitierspas touche engie;Négatif;2024-01-31;10;Wednesday;262;True
66;LaurentCR314159;2024-01-31 11:07:50+00:00;mais pas ma facturenen 2020 je consommais 1694m3 et payais 1080nen 2021 jinstallé un poêle à boisnen 2023 jai consommé 1127m333net payé10334nengiepartfr  vs vs êtes foutu mes économies ds la poche avec lesquelles je comptais acheter mon boisnquel bon business;Neutre;2024-01-31;11;Wednesday;259;False
67;KR1SD4RK;2024-01-31 13:04:45+00:00;engiepartfr foutagedegueule;Neutre;2024-01-31;13;Wednesday;27;False
68;cathmacgregor;2024-01-31 17:05:15+00:00;en passant de 1 à 31 denergiesrenouvelables dans le mix énergétique dengiechile en 5 ans amp en annonçant notre sortie du charbon engiegroup décarbone son activité amp accélére la transitionenergétiquenobjectif 2026  60 denr dans notre mix n;Neutre;2024-01-31;17;Wednesday;241;False
69;Aury7667;2024-01-31 17:17:08+00:00;engiepartfr engiegroup jappelle hier le service client pour un bug sur lespace client au niveau du suivi conso on devait me rappeler aujourdhui  personne je rappelle le service expliquant à nouveau mon problème on me transfère une autre personne qui sétonne;Négatif;2024-01-31;17;Wednesday;257;False
70;vahe_thomas;2024-02-01 10:51:40+00:00;engiepartfr bonjour impossible de me connecter à lespace  pour devenir client message derreur en pj mon adresse ip est 514918250 cdt;Négatif;2024-02-01;10;Thursday;132;False
71;vahe_thomas;2024-02-01 10:53:20+00:00;engiepartsav bonjour impossible de me connecter au site  pour devenir client cidessous le message derreur mon adresse ip est 514918250 cdt;Négatif;2024-02-01;10;Thursday;138;False
72;cookinette33;2024-02-01 14:19:47+00:00;engiepartfr après avoir reçu mon rappel de charges de copropriétéje suis locataire je vois 3500euros pour 90m3 deau chaudeappelant engie on me sors comme nous avons une chaudière pour le chauffage et leau et bien que le bouclier tarifaire ne sappliquait que sur un seul;Neutre;2024-02-01;14;Thursday;269;False
73;MavaMathias;2024-02-02 14:49:33+00:00;engiepartsav  2 mois que jappelle pour un rendezvous dentretien dune clim gainable  2 mois que vos téléoperateurs me promènent  gros ras le bol;Neutre;2024-02-02;14;Friday;143;False
74;hohotweet;2024-02-02 17:45:18+00:00;engiepartfr engiesolutions engiegroup jai un problème  veuillez me le régler rapidement svp;Négatif;2024-02-02;17;Friday;91;False
75;cmonica75;2024-02-03 14:39:39+00:00;engiepartfr cette protectiondesdonnees est bafouée par vous en 1er depuis que  jai changé de fournisseur délectricité je reçois de multiples messages vocaux sur les économies délectricité vous avez un avis;Neutre;2024-02-03;14;Saturday;205;False
76;vahe_thomas;2024-02-05 08:38:46+00:00;engiepartsav nnimpossible de me connecter à l espace client vous utiliser le waf d aws cloudfront nmon adresse ip se trouve dans le range 5149176020 asn47548nmerci de vérifier les logs du waf les objets hostingproviderlist ou awsmanagedipreputationlist nous filtrent;Neutre;2024-02-05;8;Monday;266;False
77;ZamDisney;2024-02-05 09:29:59+00:00;engiegroup engiepartfr cest top de mettre une application pour suivre notre consommation mais si on peut jamais y accéder car ça bug tout le temps aucun intérêt;Positif;2024-02-05;9;Monday;160;False
78;ledoublea2;2024-02-06 16:23:34+00:00;à équipements et utilisation similaires depuis 3 ans voici mes factures engiepartfr engiegroup sur les 3 dernières années n2021  1070n2022  1152n2023  1594nnlenculerie cest jusquoù;Neutre;2024-02-06;16;Tuesday;180;False
79;Pomsca;2024-02-07 08:14:03+00:00;engiepartfr vous êtes sérieux lànn 100mois daugmentation sur ma facture délectricité nvous êtes sérieux lànjai fait x2 sur ma facture  nnfaut mexpliquer le délire car ca va clairement pas être possible;Neutre;2024-02-07;8;Wednesday;201;False
80;Brice561;2024-02-07 22:50:54+00:00;bon il me semble que engiepartfr ont 1 soucis avec le suivi conso car idem mon père a eu une enorme différence sur sa facture par rapport à sa conso donnée par le suivindonc quand on nous dit quon peut savoir sa conso en temps réel;Neutre;2024-02-07;22;Wednesday;231;False
81;Xhlynk;2024-02-08 07:34:02+00:00;la regul délectricité a 600 pour un 40m2 en chauffant à même pas 18 degrés ça va être super 2024 merci engiepartfr;Positif;2024-02-08;7;Thursday;114;False
82;uncletonton;2024-02-09 07:11:50+00:00;engiepartfr une simple question dans vos factures il y a les frais de la gestion de votre appli mobile et votre site internet pour connaître notre consommation  si oui vous me devez un gros geste commercial parce que sur les deux impossible de sinformernengie;Négatif;2024-02-09;7;Friday;259;False
83;mecquiraletrop;2024-02-09 09:12:14+00:00;engiepartfr ya votre appli qui est en carafe depuis 4 jours et ça commence à me saouler de ouf;Neutre;2024-02-09;9;Friday;94;False
84;PhSanc;2024-02-09 19:47:47+00:00;engiepartfr entre menteur et voleur 3 mois pour que engie mexplique quils ont du augmenter mon abonnement gaz  sans me prévenir de 30  a 334an on est loin des tarifs annoncés sur votre site;Neutre;2024-02-09;19;Friday;189;False
85;pene1086;2024-02-09 21:24:40+00:00;engiepartfr vous jouez avec moi ou quoi cest quoi ce bordel  reprenez vous vous allez pas nous voler comme ça cest scandaleux engie arnaques;Négatif;2024-02-09;21;Friday;140;False
86;braindegeek;2024-02-10 20:46:06+00:00;juliendoclot engiepartfr cest pire;Neutre;2024-02-10;20;Saturday;34;False
87;CloBrgs;2024-02-11 21:49:58+00:00;happe by engiepartfr qui me prélève deux fois sur un même compteur quils étaient censé me clotûrer suite à leur erreur et qui répondent pas par le service client donc sur un même linky jai deux factures happe qui devraient pas exister  1 engie ça va sinon;Neutre;2024-02-11;21;Sunday;255;False
88;lu_grandjean;2024-02-12 10:28:06+00:00;cest marrant on consomme moins mais engiepartfr augmente tellement ses tarifs que les mensualités augmentent quand mêmen26 par mois quel plaisir;Neutre;2024-02-12;10;Monday;144;False
89;cmonica75;2024-02-12 12:21:19+00:00;engie nengieprofr engiepartsav nncest bon  on arrête de jouer nharcelement nsuisje la seule à recevoir ces offres débilesnet aucun lien ne fonctionne pour se désabonner nledivorceinterdit nharcèlement abusif;Neutre;2024-02-12;12;Monday;207;False
90;vince_thouvenin;2024-02-12 14:10:07+00:00;engiepartsav vous nêtes pas capables de tenir vos engagements contractuels et laissez délibérément des foyers sans eaux chaudes;Neutre;2024-02-12;14;Monday;127;False
91;xcselina;2024-02-13 11:32:58+00:00;atlanticfrance engiepartfr atlanticfrance pendant ce temps là nous avons un ballon en mode secours qui consomme donc plus a qui doit on sadresser pour que ça bouge enfin  le manque de communication entre toutes les unités nous met dans une position dans laquelle nous navons rien demandé;Positif;2024-02-13;11;Tuesday;287;False
92;gwaig;2024-02-13 11:50:41+00:00;engiepartsav bonjour je lai déjà fait le 25 janvier et je nai toujours pas reçu de réponse dailleurs voici le numéro de ma réclamation dem240162362811;Neutre;2024-02-13;11;Tuesday;150;False
93;selimelamouri;2024-02-13 17:14:49+00:00;super déçu du service dengiepartfr censée revenir vers nous pour des travaux sur une chaudière depuis une semaine résultat pas de chauffage pas deau chaude la galère;Négatif;2024-02-13;17;Tuesday;165;False
94;EmmFreezz;2024-02-14 09:11:26+00:00;engiepartfr  vous faites des pubs tv avec tout le topo commercial mais vous ne répondez pas à la question  le chauffage on allume  on baisse ou on éteint pareil pour le sèchecheveux merci;Neutre;2024-02-14;9;Wednesday;187;False
95;GeoffreyTMX;2024-02-15 17:35:06+00:00;engiepartfr vous êtes des voleurs ncela ne vous dérange pas daugmenter vos tarifs de presque 50 en période dinflation nnjanvier 2023  360  pour 2397 kwhnjanvier 2024  677  pour 2355 kwhnnufcquechoisir medenergie rolandlescure;Neutre;2024-02-15;17;Thursday;225;False
96;GirardBenjamiin;2024-02-17 09:54:15+00:00;belle méthode engiepartfr  engiegroup npour lhistoire nous avons été démarché par un de vos commerciaux qui nous annonce 135mois nune fois le contrat signé nous sommes à 240mois nnmerci pour la franchise de la personne du service client qui nous dis la vérité;Neutre;2024-02-17;9;Saturday;259;False
97;LeArtavus;2024-02-17 19:29:27+00:00;en 2024 lélectricité senvole avec engiepartfrnnjattends quil corrige;Neutre;2024-02-17;19;Saturday;68;False
98;AntoineSautarel;2024-02-18 21:24:34+00:00;engiepartfr  vous pensez quun jour votre appli marchera correctement  cest ça toutes les semaines;Neutre;2024-02-18;21;Sunday;97;False
99;b_scotto;2024-02-19 11:47:20+00:00;engiepartfr pouvezvous confirmer la hausse que vous allez appliquer nautour de moi personne na été informé;Neutre;2024-02-19;11;Monday;106;False
100;pharaon_alain;2024-02-19 12:37:10+00:00;merci engiepartfr chauffe presque pasmaxi 195degres racket et en marche;Neutre;2024-02-19;12;Monday;71;False
101;casanegra1113;2024-02-19 13:08:30+00:00;belle surprise en rentrant de vacances 800 délectricité alors que ma consommation na pas changé depuis deux mois nje ne veux pas être grossière mais là engiepartfr se fout de nous nils ont clôturé 2023 avec un bénéfice de 4 milliards d  nrefusedepayertafacture;Neutre;2024-02-19;13;Monday;260;False
102;ZamDisney;2024-02-20 07:26:15+00:00;engiegroup engiepartfr vous pouvez me mp svp;Neutre;2024-02-20;7;Tuesday;44;False
103;bernadrian;2024-02-20 10:32:44+00:00;dites donc engiepartfr cest normal que mon tarif gaz passe de 9 à 13 centimes le kwh en plein contrat de 3 ans signé en mars 2022;Positif;2024-02-20;10;Tuesday;129;False
104;Altesse64;2024-02-20 17:26:46+00:00;coucou engiepartfr ça va tranquille les augmentations sur le coût dun abonnement  120 de plus en 2 ans;Neutre;2024-02-20;17;Tuesday;102;False
105;maxcordiez;2024-02-21 17:46:23+00:00;bonjour engiegroup et edfofficielnnaujourdhui jai reçu 2 appels frauduleux usurpant le nom de vos entreprises afin de tenter de me soutirer des informations même en étant sur bloctelnncest vraiment péniblennavezvous un service juridique que ça peut intéresser nn12;Neutre;2024-02-21;17;Wednesday;264;False
106;mje_lfe;2024-02-21 18:39:59+00:00;engiepartfr qui augmente mes mensualités de 42 par mois  en deux ans mes mensualités ont doublé pour exactement la même conso en 2025 je passe à 250 par mois cest ça;Neutre;2024-02-21;18;Wednesday;165;False
107;VMortagne;2024-02-22 08:38:16+00:00;engie enedis engiepartfr engiegroup enedis enedisclients enedisparis n200 pour 30m2 avec des équipements neufs  des factures énormes incohérentes qui augmentent de 20 en 24h n nous attendons des explications claires et rapides avant de passer à la justice;Neutre;2024-02-22;8;Thursday;255;False
108;VMortagne;2024-02-22 11:06:34+00:00;engiepartfr enedisclients enedis engiepartfr arnaquent les particuliers des factures incoherentes et un personnel incapable de fournir des explicationsncette consommation est impossible pour 30m2 et le chauffage éteint nexpliquez vous;Négatif;2024-02-22;11;Thursday;234;False
109;me_jvlle;2024-02-22 12:05:34+00:00;merci pour ces précieuses informations engiepartfr;Neutre;2024-02-22;12;Thursday;50;False
